127.0.0.1 - - [01/Nov/2019:11:32:11 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:13 +0200] "GET /Etatehtavat_5/index.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:13 +0200] "GET /Etatehtavat_5/listaaasiakkaat.jsp HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:13 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:13 +0200] "GET /Etatehtavat_5/css/main.css HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:13 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:27 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:27 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana=a HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:43 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:44 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:47 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana=a HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:49 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana=a HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:53 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:55 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:58 +0200] "GET /Etatehtavat_5/lisaaasiakas.jsp HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:58 +0200] "GET /Etatehtavat_5/css/main.css HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:58 +0200] "GET /Etatehtavat_5/scripts/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:32:59 +0200] "GET /Etatehtavat_5/listaaasiakkaat.jsp HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:33:01 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:33:50 +0200] "GET /Etatehtavat_5/muutaasiakas.jsp?asiakas_id=5 HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:33:50 +0200] "GET /Etatehtavat_5/scripts/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:33:50 +0200] "GET /Etatehtavat_5/css/main.css HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:33:50 +0200] "GET /Etatehtavat_5/HaeAsiakas?asiakas_id=5 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:33:54 +0200] "POST /Etatehtavat_5/MuutaAsiakas HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:04 +0200] "GET /Etatehtavat_5/MuutaAsiakas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:10 +0200] "GET /Etatehtavat_5/listaaasiakkaat.jsp HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:12 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:17 +0200] "GET /Etatehtavat_5/muutaasiakas.jsp?asiakas_id=5 HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:17 +0200] "GET /Etatehtavat_5/scripts/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:17 +0200] "GET /Etatehtavat_5/HaeAsiakas?asiakas_id=5 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:20 +0200] "POST /Etatehtavat_5/MuutaAsiakas HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:22 +0200] "GET /Etatehtavat_5/listaaasiakkaat.jsp HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [01/Nov/2019:11:34:23 +0200] "GET /Etatehtavat_5/ListaaAsiakkaat?hakusana= HTTP/1.1" 200 337
